COD_TIPO_VIP_ADE|NOM_COMP_CLI_ADE|COD_TIPO_LOGR_UN_CONS_ADE|COD_LOGR_UN_CONS_ADE|NOM_LOGR_UN_CONS_ADE|NUM_IMVL_UN_CONS_ADE|DES_CPTO_ENDE_UN_CONS_ADE|NOM_BAIR_UN_CONS_ADE|COD_CEP_UN_CONS_ADE|NUM_FONE_PRIN_CLI_ADE|COD_EMAIL_CLI_ADE|NUM_FAX_PRIN_CLI_ADE|COD_LOC_ADE|COD_UN_CONS_ADE|NOVAUC|NUM_EQIP_ADE|COD_CLAS_PRIN_ADE|COD_CLAS_CONS_ADE|QTD_TENS_LIG_ADE|COD_SITU_UN_CONS_ADE|COD_TIPO_PROG_ESPC_ADE|COD_GRU_TENS_FAT_ADE|COD_SUB_GRU_FAT_ADE|COD_TIPO_TAR_FAT_ADE|STA_GER_CARGA_ADE|COD_TIPO_LOGR_CLI_ADE|NOM_LOGR_CLI_ADE|NUM_IMVL_CLI_ADE|DES_CPTO_ENDE_CLI_ADE|NOM_BAIR_CLI_ADE|COD_CEP_CLI_ADE|NOM_MUN_CLI_ADE|COD_UF_CLI_ADE|NOM_PAI_CLI_ADE|COD_CXPT_CLI_ADE|DTA_INC_ADE|NOM_USU_INC_ADE|STA_LEIT_REG_ADE|DTA_LIG_ADE|NUM_FONE_CEL_CLI_ADE|COD_ETAP_ADE|COD_LIVR_ADE|NUM_SEQ_LIVR_ADE|COD_AUX_ADE|DTA_PROGM_ADE|NUM_PSTE_ADE|COD_TIPO_FASE_ADE|COD_FASE_LIG_ADE|NUM_DISJ_ADE|COD_TIPO_RAMAL_LIG_ADE|NUM_CPMT_RAMAL_LIG_ADE|QTD_TENS_CONR_ADE|NUM_CLI_ADE|COD_TIPO_LOC_COM_ADE|COD_TIPO_LOC_TEC_ADE|COD_SUB_GRU_ORIG_ADE|NUM_EQIP_REAT_ADE|NUM_EQIP_DEM_ADE|COD_TIPO_CORT_TEC_ADE|COD_MOTI_DESL_ADE|DTA_DESL_UN_CONS_ADE|DTA_RLIG_UN_CONS_ADE|COD_AREA_DDD_ADE|NUM_RAMAL_FONE_ADE|COD_TIPO_TRIB_ADE|COD_TIPO_GER_ADE|NUM_COORX_PSTE_ADE|NUM_COORY_PSTE_ADE|COD_POST_TRA_ADE|COD_FORM_DESL_ADE|DES_PTO_REF_UN_CONS_ADE|COD_CLAS_ATIV_ECON_TRAT_ADE|DES_CPTO_ENDE_TRAT_ADE|DES_PTO_REF_TRAT_ADE|COD_CLAS_PRIN_TRAT_ADE|COD_TIPO_FASE_TRAT_ADE|COD_CONJ_UN_CONS_ADE|NUM_SEQ_OPER_MAT_ADE|STA_RAMAL_SERV_ADE|STA_SITU_RAMAL_SERV_ADE|COD_EMAIL_CONT_ADE|COD_TIPO_VIP_UC_ADE|COD_TIPO_VIP_CLI_ADE|VAL_ENC_USO_SIS_DISTR_UC|DATA_REF_ENC_USO_UC|COD_TIPO_IMOV_UC|EMAIL_UC|IDENT_CELU_UC|COORD_X_UC|COORD_Y_UC|VAL_BASE_CALC_COMPEN_UC|VAL_PTO_CLI_UC|NUM_TRECHO_LOG_SEGM_UC|DATA_ULT_FISCAL_UC|DATA_INIC_CONS_UC
|||LIN HOMOLOG -> JACUTINGA||NA|SE JAC 34 5 JACUTINGA||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|01-02-1984 12:00:00||CYCLE090|032040|1||||TR              |ABCN            |||||1053655000|UB|UB|B3              |||||||||||||||||SE JAC 34 5 JACUTINGA||8|TR              |||||cadastro.digital@copel.com|||69.4||NA|cadastro.digital@copel.com|41988474924|0|0|69.4|B |||01-10-2013 12:00:00
|||AV HOMOLOG -> HIPOLITO AIRES DE ARRUDA||139|UAP PIN  PINHAO||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|10-09-2004 12:00:00||CYCLE017|022868|164||||BI              |BCN             |||||1167655000|UB|UB|B3              ||||||09-02-2022 08:17:01|||||||||||UAP PIN  PINHAO||8|BI              |||||testesappcopel@gmail.com|||36.44||139|testesappcopel@gmail.com|41988474924|0|0|36.44|B |||24-09-2013 12:00:00
|||AV HOMOLOG -> JOAO CARVALHO DE MELLO||257|UAP ABT  ABATIA||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|30-03-1981 12:00:00||CYCLE06|008225|228||||BI              |ABN             |||||2253555000|UB|UB|B3              |||||15-08-2012 03:49:18|15-08-2012 03:49:18|||||||||||UAP ABT  ABATIA||8|BI              |||||cadastro.digital@copel.com|||33.58||257|cadastro.digital@copel.com|41988474924|-50.310774|-23.304283|33.58|B |||07-09-2013 12:00:00
|||AV HOMOLOG -> ANDIRA||1282|UAP DCA  DOUTOR CAMARGO||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|18-03-1995 12:00:00||CYCLE02|001036|241||||BI              |ABN             |||||2363555000|UB|UB|B3              |||||26-04-2012 05:18:02|30-03-2021 12:07:01|||||||||||UAP DCA  DOUTOR CAMARGO||8|BI              |||||cadastro.digital@copel.com|||33.3||1282|cadastro.digital@copel.com|41988474924|-52.227478|-23.55191|33.3|B |||02-10-2013 12:00:00
|||AV HOMOLOG -> GOIAS||790|SE CRO 34 5 CRUZEIRO DO OESTE||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|10-10-1974 12:00:00||CYCLE018|038444|207||||TR              |ABCN            |||||2547655000|UB|UB|B3              |||||||||||||||||SE CRO 34 5 CRUZEIRO DO OESTE||8|TR              |||||testesappcopel@gmail.com|||243.87||790|testesappcopel@gmail.com|41988474924|0|0|243.87|B |||26-09-2013 12:00:00
|||POV HOMOLOG -> BRASILIA||NA|UAP PGA  PARANAGUA||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|23-06-1988 12:00:00||CYCLE09|013689|23||||BI              |ABN             |||||2943555000|UB|UB|B3              |||||07-07-2014 09:30:00|11-10-2024 11:27:01|||||||||||UAP PGA  PARANAGUA||8|BI              |||||testesappcopel@gmail.com|||187.12||NA|testesappcopel@gmail.com|41988474924|-48.303776|-25.542116|187.12|B |||13-09-2013 12:00:00
|||R HOMOLOG -> EUCLIDES BANDEIRA||1851|AUX SUBESTACAO BOM RETIRO 69 KV||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|04-09-2024 10:42:00||CYCLE07|405706|305||||TR              |ABCN            |||||3515655000|UB|UB|B3              ||||||04-09-2024 10:42:01|||||||||||AUX SUBESTACAO BOM RETIRO 69 KV||8|TR              |||||testesappcopel@gmail.com|||0||1851|testesappcopel@gmail.com|41988474924|0|0|0|B |||04-09-2024 12:00:00
|||R HOMOLOG -> HASDRUBAL BELLEGARD||NA|SE TUQ 69 TATUQUARA||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|19-09-2023 02:26:00||CYCLE05|703205|152||||TR              |ABCN            |||||3867655000|UB|UB|B3              |||||09-01-2024 12:00:00|09-01-2024 12:01:00|||||||||||SE TUQ 69 TATUQUARA||8|TR              |||||testesappcopel@gmail.com|||664.38||NA|testesappcopel@gmail.com|41988474924|-49.308491|-25.554338|664.38|B |||19-09-2023 12:00:00
|||ROD HOMOLOG -> PR 092 DOS MINERIOS||NA|SE ATM 138 ALMIRANTE TAMANDARE||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|28-07-2023 01:11:00||CYCLE04|004553|193||||TR              |ABCN            |||||4673655000|UB|UB|B3              |||||31-07-2023 12:00:00|05-09-2023 12:00:00|||||||||||SE ATM 138 ALMIRANTE TAMANDARE||8|TR              |||||testesappcopel@gmail.com|||815.05||NA|testesappcopel@gmail.com|41988474924|-49.28225|-25.343461|815.05|B |||28-07-2023 12:00:00
|||R HOMOLOG -> AMAZONAS||NA|SE BRO 34 5 BARRACAO||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|04-05-1979 12:00:00||CYCLE090|032023|1||||BI              |ACN             |||||5053555000|UB|UB|B3              |||||||||||||||||SE BRO 34 5 BARRACAO||8|BI              |||||testesappcopel@gmail.com|||34.69||NA|testesappcopel@gmail.com|41988474924|0|0|34.69|B |||01-10-2013 12:00:00
|||R HOMOLOG -> RUI BARBOSA||520|ALIMENTADOR EXPEDICIONARIOS||||||U               |                ||||        ||LG||A               |A4              |BLUE            ||||||||||||||N|11-11-2010 12:00:00||CYCLE095|025362|5||||TR              |ABCN            |||||0708462000|UB|UB|A4              |||||30-06-2019 11:59:00|01-06-2021 12:00:00|||||||||||ALIMENTADOR EXPEDICIONARIOS||9|TR              |||||CACO@COCEL.COM.BR|||272262.99||520|CACO@COCEL.COM.BR||0|0|272262.99|B |||02-10-2013 12:00:00
